Wavelength(nm)	Intensity
795.828	16792.62
795.872	18605.02
795.915	19795.02
795.959	20666.02
796.003	20639.42
796.047	19608.72
796.09	18138.42
796.134	16389.92
796.178	14744.52
796.221	13675.82
796.265	13175.62
796.308	13477.72
796.352	14650.92
796.396	16215.82
796.439	17811.52
796.483	19179.82
796.526	20245.42
796.57	20085.12
796.614	19538.92
796.657	18334.42
796.701	16628.22
796.744	14936.12
796.788	13714.82
796.831	13082.82
796.875	13067.52
796.918	13832.52
796.962	15210.22
797.005	16796.82
797.049	18410.22
797.092	19309.62
797.136	19813.62
797.179	19418.32
797.222	18587.82
797.266	17006.92
797.309	15300.92
797.353	14069.92
797.396	13039.62
797.439	12930.92
797.483	13455.12
797.526	14675.12
797.569	16310.42
797.613	17998.12
797.656	19468.42
797.699	20162.52
797.743	19969.72
797.786	19241.72
797.829	18045.02
797.873	16476.02
797.916	14827.52
797.959	13716.22
798.002	13236.42
798.045	13453.42
798.089	14512.82
798.132	16116.32
798.175	17752.62
798.218	19387.42
798.262	20591.32
798.305	20838.02
798.348	20530.82
798.391	19252.92
798.434	17908.92
798.477	16282.82
798.52	14733.12
798.564	13800.12
798.607	13522.72
798.65	14183.62
798.693	15393.92
798.736	17068.62
798.779	18611.92
798.822	19854.12
798.865	20726.42
798.908	20589.52
798.951	20091.92
798.994	18622.82
799.037	16883.32
799.08	15310.02
799.123	14088.92
799.166	13183.42
799.209	13272.62
799.252	13903.52
799.295	15498.52
799.338	17074.62
799.381	18813.02
799.424	19820.22
799.467	20338.02
799.51	20051.82
799.552	19070.22
799.595	17625.02
799.638	15929.22
799.681	14492.82
799.724	13457.92
799.767	12977.42
799.81	13716.42
799.852	14616.22
799.895	16155.72
799.938	17983.52
799.981	19309.22
800.024	20173.72
800.066	20327.02
800.109	19793.52
800.152	18431.82
800.195	16945.62
800.237	15379.42
800.28	14096.82
800.323	13400.82
800.365	13146.12
800.408	14234.62
800.451	15428.22
800.493	17076.02
800.536	18797.52
800.579	20169.72
800.621	20775.92
800.664	20876.12
800.707	20020.12
800.749	18596.32
800.792	16898.82
800.834	15258.42
800.877	13991.42
800.92	13384.12
800.962	13699.32
801.005	14514.12
801.047	15915.72
801.09	17628.82
801.132	19316.92
801.175	20483.62
801.217	21008.72
801.26	20587.92
801.302	19584.92
801.345	18215.32
801.387	16547.72
801.43	14776.62
801.472	13667.42
801.514	13207.12
801.557	13646.12
801.599	14675.12
801.642	16283.52
801.684	17887.72
801.726	19451.42
801.769	20520.62
801.811	21009.22
801.854	20356.42
801.896	19313.02
801.938	17620.32
801.981	15979.72
802.023	14464.22
802.065	13428.62
802.107	13225.62
802.15	13780.82
802.192	15097.22
802.234	16751.42
802.276	18710.32
802.319	20130.32
802.361	21217.72
802.403	21424.22
802.445	20623.92
802.488	19552.32
802.53	17764.62
802.572	15952.22
802.614	14528.32
802.656	13770.52
802.698	13513.92
802.741	14279.82
802.783	15573.12
802.825	17277.22
802.867	19140.22
802.909	20568.62
802.951	21614.32
802.993	21638.82
803.035	20871.72
803.077	19617.52
803.119	17739.82
803.161	16068.22
803.204	14414.12
803.246	13500.02
803.288	13469.12
803.33	14199.52
803.372	15476.32
803.414	17241.42
803.456	19066.62
803.497	20381.92
803.539	21408.72
803.581	21206.62
803.623	20433.72
803.665	19100.72
803.707	17334.02
803.749	15454.52
803.791	13995.42
803.833	13101.52
803.875	13075.82
803.917	13819.12
803.958	15122.12
804	16913.42
804.042	18659.62
804.084	20003.12
804.126	20890.72
804.168	20723.82
804.209	20077.22
804.251	18683.32
804.293	16769.82
804.335	15159.82
804.376	13817.22
804.418	13144.32
804.46	12964.62
804.502	13889.62
804.543	15320.42
804.585	17257.72
804.627	18995.42
804.668	20566.62
804.71	21370.02
804.752	21499.22
804.793	20758.62
804.835	19140.72
804.877	17280.72
804.918	15551.12
804.96	13857.22
805.002	13248.62
805.043	13245.42
805.085	14229.52
805.126	15570.82
805.168	17721.82
805.209	19593.22
805.251	21289.42
805.293	22230.12
805.334	22252.12
805.376	21290.92
805.417	19814.62
805.459	17965.22
805.5	16015.92
805.542	14401.82
805.583	13467.12
805.624	13367.22
805.666	14056.82
805.707	15575.02
805.749	17425.22
805.79	19315.92
805.832	21067.82
805.873	21865.12
805.914	22211.82
805.956	21578.42
805.997	20082.32
806.039	18032.82
806.08	16060.92
806.121	14354.62
806.163	13228.92
806.204	12903.12
806.245	13639.92
806.286	14885.32
806.328	16632.12
806.369	18473.52
806.41	20228.32
806.452	21334.72
806.493	21727.42
806.534	20955.82
806.575	19780.12
806.616	17896.32
806.658	15874.92
806.699	14194.02
806.74	12991.82
806.781	12571.42
806.822	13127.82
806.864	14287.92
806.905	16078.62
806.946	18325.02
806.987	20051.82
807.028	21144.42
807.069	21608.12
807.11	20883.12
807.151	19930.32
807.193	18160.72
807.234	16116.12
807.275	14088.02
807.316	12861.02
807.357	12337.32
807.398	12702.52
807.439	13827.72
807.48	15631.52
807.521	17661.12
807.562	19578.72
807.603	20852.42
807.644	21514.72
807.685	21246.32
807.726	20221.02
807.767	18568.72
807.808	16251.02
807.848	14532.92
807.889	12987.02
807.93	12254.92
807.971	12294.72
808.012	13168.92
808.053	14831.42
808.094	16754.32
808.135	18774.92
808.176	20267.72
808.216	21172.32
808.257	21213.12
808.298	20378.02
808.339	18720.82
808.38	16686.12
808.42	14789.72
808.461	12915.82
808.502	11951.92
808.543	11584.22
808.583	12317.52
808.624	13709.32
808.665	15466.92
808.706	17566.92
808.746	19098.12
808.787	20416.12
808.828	20649.02
808.868	19973.42
808.909	18900.32
808.95	17065.22
808.99	14901.02
809.031	13147.62
809.072	11852.32
809.112	11298.42
809.153	11627.72
809.193	12980.32
809.234	14707.22
809.275	16716.12
809.315	18573.32
809.356	19997.12
809.396	20539.82
809.437	20320.92
809.477	19292.22
809.518	17681.32
809.558	15654.12
809.599	13643.82
809.639	11993.12
809.68	11226.22
809.72	11238.02
809.761	12078.42
809.801	13617.32
809.842	15634.22
809.882	17347.12
809.922	19054.72
809.963	19965.42
810.003	20219.12
810.044	19567.82
810.084	18123.72
810.124	16269.52
810.165	14359.42
810.205	12551.12
810.245	11192.82
810.286	10744.32
810.326	11166.92
810.366	12392.02
810.407	14026.32
810.447	15974.42
810.487	17785.22
810.527	19025.02
810.568	19728.62
810.608	19391.72
810.648	18474.12
810.688	16632.22
810.729	14804.92
810.769	12795.42
810.809	11359.92
810.849	10159.42
810.889	10054.72
810.93	10734.12
810.97	12118.02
811.01	13738.52
811.05	15707.92
811.09	17117.92
811.13	18158.02
811.17	18336.32
811.211	17798.12
811.251	16506.12
811.291	14914.62
811.331	12909.62
811.371	11195.92
811.411	9918.82
811.451	9379.12
811.491	9567.82
811.531	10553.32
811.571	12108.02
811.611	13914.32
811.651	15577.12
811.691	16711.52
811.731	17406.42
811.771	17327.42
811.811	16602.92
811.851	15136.92
811.891	13470.32
811.931	11634.42
811.971	10192.42
812.01	9190.12
812.05	9036.02
812.09	9675.32
812.13	10792.52
812.17	12595.82
812.21	14318.82
812.25	15848.82
812.289	16862.12
812.329	17200.62
812.369	17087.82
812.409	15950.22
812.449	14242.12
812.488	12575.32
812.528	10969.52
812.568	9650.62
812.608	8827.62
812.647	8805.42
812.687	9619.02
812.727	10972.42
812.767	12566.32
812.806	14065.42
812.846	15578.12
812.886	16537.32
812.925	16634.02
812.965	16197.12
813.005	15103.62
813.044	13530.82
813.084	11756.52
813.124	10160.02
813.163	8957.92
813.203	8267.12
813.242	8411.62
813.282	9117.02
813.322	10337.22
813.361	11830.32
813.401	13246.02
813.44	14626.32
813.48	15182.12
